latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
34.30558,84.05185,301.56,3.26,1.71,2026-08-24,406,Terra,MODIS,26,6.1NRT,282.64,17.36,D
8.84099,80.46378,320.45,1.98,1.37,2026-08-24,947,Aqua,MODIS,52,6.1NRT,287.94,35.07,D
32.39951,75.70441,311.52,1.48,1.2,2026-08-24,954,Aqua,MODIS,17,6.1NRT,296.07,7.03,D
8.43192,80.25041,307.69,1.43,1.18,2026-08-24,1501,Terra,MODIS,70,6.1NRT,284.6,10.98,N
29.2909,88.86868,309.15,1.05,1.02,2026-08-25,310,Terra,MODIS,50,6.1NRT,291.71,5.2,D
18.57152,72.2374,311.54,1.13,1.06,2026-08-25,1028,Aqua,MODIS,49,6.1NRT,294.49,6.71,D
31.74129,72.21106,324.13,1.02,1.01,2026-08-25,1032,Aqua,MODIS,61,6.1NRT,305.42,11.35,D
31.74274,72.22147,320.07,1.02,1.01,2026-08-25,1032,Aqua,MODIS,39,6.1NRT,304.66,7.45,D
25.94186,72.1828,309.57,1.08,1.04,2026-08-25,1544,Terra,MODIS,71,6.1NRT,297.86,5.22,N
25.94316,72.19324,325.59,1.08,1.04,2026-08-25,1544,Terra,MODIS,100,6.1NRT,298.21,21.39,N
11.40139,77.46828,300.3,1.04,1.02,2026-08-25,2240,Aqua,MODIS,17,6.1NRT,287.22,3.37,N
35.99234,84.51232,300.3,1.51,1.21,2026-08-26,347,Terra,MODIS,18,6.1NRT,283.71,4.52,D
35.99979,84.53113,300.12,1.51,1.21,2026-08-26,347,Terra,MODIS,17,6.1NRT,284.05,4.74,D
12.75397,76.88705,309.63,1.27,1.12,2026-08-26,353,Terra,MODIS,63,6.1NRT,290.77,5.22,D
21.75373,83.84193,313.6,1.66,1.27,2026-08-26,928,Aqua,MODIS,56,6.1NRT,292.64,11.49,D
20.8637,84.9892,307.93,1.05,1.02,2026-08-26,1444,Terra,MODIS,66,6.1NRT,292.22,5.94,N
20.95059,86.05023,307.47,1,1,2026-08-26,1444,Terra,MODIS,59,6.1NRT,293.62,4.14,N
20.96287,86.01005,307.72,1,1,2026-08-26,1444,Terra,MODIS,57,6.1NRT,293.5,4.14,N
20.96317,85.17108,313.74,1.04,1.02,2026-08-26,1444,Terra,MODIS,87,6.1NRT,294.04,8.83,N
20.96456,85.18073,310.58,1.04,1.02,2026-08-26,1444,Terra,MODIS,79,6.1NRT,293.65,6.52,N
20.96594,85.19036,309.52,1.04,1.02,2026-08-26,1444,Terra,MODIS,76,6.1NRT,293.26,6.02,N
20.97398,85.17289,313.08,1.04,1.02,2026-08-26,1444,Terra,MODIS,86,6.1NRT,293.4,8.78,N
20.97351,85.18336,301.97,3.08,1.67,2026-08-26,2138,Aqua,MODIS,26,6.1NRT,287.51,17.78,N
29.65053,76.97887,303.85,1.75,1.3,2026-08-26,2312,Aqua,MODIS,57,6.1NRT,289.32,8.3,N
31.31796,96.45753,300.5,1.26,1.12,2026-08-27,249,Terra,MODIS,20,6.1NRT,285.44,3.85,D
32.23024,70.89925,318.3,1.12,1.05,2026-08-27,427,Terra,MODIS,40,6.1NRT,302.5,6.21,D
33.6073,77.7849,304.46,2.71,1.58,2026-08-27,427,Terra,MODIS,20,6.1NRT,288.78,11.92,D
8.27984,81.00748,318.85,1.06,1.03,2026-08-27,1004,Aqua,MODIS,71,6.1NRT,299.66,9.04,D
8.53286,80.78808,316.03,1.07,1.03,2026-08-27,1004,Aqua,MODIS,60,6.1NRT,297.36,5.66,D
8.60111,80.3784,315.77,1.12,1.05,2026-08-27,1004,Aqua,MODIS,49,6.1NRT,297.09,6.2,D
9.37137,80.64022,318.66,1.07,1.03,2026-08-27,1004,Aqua,MODIS,58,6.1NRT,299.87,6.65,D
9.38066,77.55781,319.37,1.64,1.26,2026-08-27,1004,Aqua,MODIS,34,6.1NRT,295.85,12.51,D
11.17951,78.23668,318.15,1.37,1.16,2026-08-27,1004,Aqua,MODIS,30,6.1NRT,296.1,10.52,D
21.74315,83.8423,314.86,1.52,1.22,2026-08-27,1006,Aqua,MODIS,50,6.1NRT,277.11,18.05,D
