latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
20.96418,94.86232,333.63,0.39,0.36,2026-08-24,701,N,VIIRS,n,2.0NRT,291.78,1.74,D
29.08405,88.01155,330.14,0.55,0.43,2026-08-24,703,N,VIIRS,n,2.0NRT,304.52,4.66,D
29.66766,91.91384,329.32,0.39,0.36,2026-08-24,703,N,VIIRS,n,2.0NRT,292.36,2.43,D
31.99853,78.5369,333.62,0.54,0.68,2026-08-24,705,N,VIIRS,n,2.0NRT,298.58,4.85,D
8.01478,80.62977,330.11,0.58,0.52,2026-08-24,839,N,VIIRS,n,2.0NRT,289.11,4.21,D
8.01957,80.31305,342.68,0.55,0.51,2026-08-24,839,N,VIIRS,n,2.0NRT,289.59,6.13,D
8.30899,80.57829,332.05,0.58,0.52,2026-08-24,839,N,VIIRS,n,2.0NRT,288.19,4.19,D
8.49439,80.82851,341.74,0.61,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,287.07,15.6,D
8.56913,80.77627,337.4,0.6,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,288.92,6.43,D
8.56977,80.46552,338.31,0.58,0.52,2026-08-24,839,N,VIIRS,n,2.0NRT,286.46,9.45,D
8.61324,80.83712,356.02,0.61,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,283.41,26.33,D
8.61819,80.8364,334.97,0.61,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,281.66,26.33,D
8.62862,80.64883,340.74,0.59,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,288.93,10.64,D
8.62935,80.6543,331.68,0.59,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,288.33,11.03,D
8.86698,78.08605,332.97,0.41,0.45,2026-08-24,839,N,VIIRS,n,2.0NRT,286.72,3.33,D
8.86875,78.15804,341.5,0.41,0.45,2026-08-24,839,N,VIIRS,n,2.0NRT,289.45,5.2,D
8.92843,80.69376,340.86,0.6,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,290.6,7.31,D
8.92972,80.69118,339.81,0.6,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,287.48,9.03,D
9.41015,80.39861,349.18,0.59,0.53,2026-08-24,839,N,VIIRS,n,2.0NRT,295.47,11.22,D
9.4129,80.40137,341.51,0.59,0.52,2026-08-24,839,N,VIIRS,n,2.0NRT,294.88,12.45,D
